Order,Batsman,Dismissal,R,B,M,4s,6s,SR,Batting Team,Bowling Team,Match ID,Season,Season Match No,Match No
1,BB McCullum,c Starc b MacGill,5,12,17,1,0,41.66,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
2,ML Hayden, b MacGill,29,28,56,4,0,103.57,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
3,JR Hopes (c),c Lumb b Bravo,18,20,20,3,0,90,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
4,CA Lynn,c Henriques b Hazlewood,2,3,1,0,0,66.66,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
5,DT Christian,c Smith b Starc,32,22,43,1,2,145.45,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
6,AW Robinson,lbw b Smith,22,12,12,3,1,183.33,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
7,PJ Forrest,c Smith b Starc,16,14,17,1,1,114.28,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
8,CD Hartley †,not out,7,4,8,1,0,175,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
9,ND Buchanan,c Lee b Hazlewood,1,5,6,0,0,20,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
1,BJ Haddin (c) †,c Hayden b Christian,76,59,70,5,5,128.81,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
2,MJ Lumb,c McCullum b Hopes,18,12,17,3,0,150,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
3,NJ Maddinson, b McDermott,28,32,43,1,0,87.5,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
4,SPD Smith,not out,11,7,11,1,0,157.14,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
5,MC Henriques,not out,5,2,2,1,0,250,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
1,RJ Quiney,c Edwards b Bollinger,7,9,9,0,1,77.77,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
2,MS Wade †,c Coyte b Doran,14,14,29,1,0,100,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
3,GJ Bailey, b Bollinger,23,25,36,3,0,92,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
4,DJ Hussey,run out (Warner/Gayle),52,27,31,3,3,192.59,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
5,CL White (c),c Warner b Coyte,1,3,4,0,0,33.33,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
