,Order,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match No,Season,Season Match No
0,1,B Lee,4.0,0,19,0,4.75,,,,0,0,Brisbane Heat,Sydney Sixers,524915,1,BBL01,1
1,2,MA Starc,4.0,0,28,2,7.0,,,,1,0,Brisbane Heat,Sydney Sixers,524915,1,BBL01,1
2,3,JR Hazlewood,4.0,0,24,2,6.0,,,,0,0,Brisbane Heat,Sydney Sixers,524915,1,BBL01,1
3,4,DJ Bravo,2.0,0,20,1,10.0,,,,1,0,Brisbane Heat,Sydney Sixers,524915,1,BBL01,1
4,5,SCG MacGill,4.0,0,21,2,5.25,,,,2,0,Brisbane Heat,Sydney Sixers,524915,1,BBL01,1
5,6,SPD Smith,2.0,0,25,1,12.5,,,,0,0,Brisbane Heat,Sydney Sixers,524915,1,BBL01,1
6,1,NM Hauritz,3.0,0,23,0,7.66,,,,0,0,Sydney Sixers,Brisbane Heat,524915,1,BBL01,1
7,2,AC McDermott,3.0,0,33,1,11.0,,,,1,0,Sydney Sixers,Brisbane Heat,524915,1,BBL01,1
8,3,DT Christian,4.0,0,20,1,5.0,,,,0,0,Sydney Sixers,Brisbane Heat,524915,1,BBL01,1
9,4,JR Hopes,3.4,0,29,1,7.9,,,,0,0,Sydney Sixers,Brisbane Heat,524915,1,BBL01,1
10,5,ND Buchanan,2.0,0,21,0,10.5,,,,1,0,Sydney Sixers,Brisbane Heat,524915,1,BBL01,1
11,6,CA Lynn,3.0,0,14,0,4.66,,,,0,0,Sydney Sixers,Brisbane Heat,524915,1,BBL01,1
12,1,CH Gayle,3.0,0,15,0,5.0,,,,1,0,Melbourne Stars,Sydney Thunder,524916,2,BBL01,2
13,2,DE Bollinger,3.0,0,22,2,7.33,,,,0,0,Melbourne Stars,Sydney Thunder,524916,2,BBL01,2
14,3,FH Edwards,4.0,0,34,0,8.5,,,,1,0,Melbourne Stars,Sydney Thunder,524916,2,BBL01,2
15,4,SJ Coyte,4.0,0,26,2,6.5,,,,1,0,Melbourne Stars,Sydney Thunder,524916,2,BBL01,2
16,5,LA Doran,3.0,0,15,1,5.0,,,,0,0,Melbourne Stars,Sydney Thunder,524916,2,BBL01,2
17,6,SA Abbott,3.0,0,35,1,11.66,,,,0,0,Melbourne Stars,Sydney Thunder,524916,2,BBL01,2
18,1,JP Faulkner,4.0,0,20,2,5.0,,,,2,0,Sydney Thunder,Melbourne Stars,524916,2,BBL01,2
19,2,JW Dernbach,4.0,0,36,0,9.0,,,,0,0,Sydney Thunder,Melbourne Stars,524916,2,BBL01,2
20,3,CJ McKay,3.0,0,21,1,7.0,,,,0,0,Sydney Thunder,Melbourne Stars,524916,2,BBL01,2
21,4,LJ Wright,4.0,0,35,1,8.75,,,,0,0,Sydney Thunder,Melbourne Stars,524916,2,BBL01,2
22,5,DJ Hussey,2.0,0,22,0,11.0,,,,0,0,Sydney Thunder,Melbourne Stars,524916,2,BBL01,2
